Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1676.4388427734375
FDW14,OUT017,1452.728759765625
NCN55,OUT010,633.8001708984375
FDQ58,OUT017,2574.702880859375
FDY38,OUT027,5440.189453125
FDH56,OUT046,1832.9561767578125
FDL48,OUT018,589.62744140625
FDC48,OUT027,2099.47021484375
FDN33,OUT045,1395.9461669921875
FDA36,OUT017,3259.762451171875
FDT44,OUT017,1921.72705078125
FDQ56,OUT045,1282.0679931640625
NCC54,OUT019,340.536376953125
FDU11,OUT049,2025.2679443359375
DRL59,OUT013,716.7241821289062
FDM24,OUT049,2469.242919921875
FDI57,OUT045,3115.782958984375
DRC12,OUT018,3000.5458984375
NCM42,OUT027,2635.934814453125
FDA46,OUT010,307.6600341796875
FDA31,OUT013,2790.496826171875
NCJ31,OUT035,3708.084228515625
FDG52,OUT046,666.151611328125
NCL19,OUT019,373.5785217285156
FDS10,OUT035,3007.9541015625
FDX22,OUT010,1016.4661865234375
NCF19,OUT035,809.4476318359375
NCE06,OUT046,2497.47705078125
DRC27,OUT046,3760.9453125
FDE21,OUT035,1965.5472412109375
NCR42,OUT019,0.0
FDX51,OUT018,2973.86474609375
NCR06,OUT018,570.806640625
FDU31,OUT027,5947.64111328125
FDU59,OUT017,2634.7255859375
FDR03,OUT027,5266.18408203125
FDS49,OUT027,2055.64990234375
FDD48,OUT010,837.0864868164062
NCF18,OUT017,3177.741455078125
NCD43,OUT027,2635.934814453125
NCD54,OUT018,1849.79931640625
FDY19,OUT010,810.4052124023438
NCY54,OUT017,2291.600830078125
NCL19,OUT018,2313.703857421875
FDP23,OUT010,972.64599609375
FDC26,OUT013,1715.991455078125
FDR14,OUT010,171.31861877441406
NCS41,OUT035,3177.741455078125
FDF41,OUT035,3512.54638671875
FDU34,OUT046,2046.75
DRH11,OUT046,1021.0392456054688
FDM03,OUT013,1689.3101806640625
FDS31,OUT017,2984.122802734375
FDJ20,OUT017,2060.2265625
FDV44,OUT027,5266.18408203125
