,Item_Weight,Item_Visibility,Item_MRP,Outlet_Establishment_Year,Outlet_Size,Item_Fat_Content_regular,Outlet_Location_Type_tier 2,Outlet_Location_Type_tier 3,Outlet_Type_supermarket type1,Outlet_Type_supermarket type2,Outlet_Type_supermarket type3,encoderItem_Type,encoderOutlet_Identifier,Item_Outlet_Sales
6404,-0.061205869508581305,-1.1634038918565885,-0.27210956815287585,-1.5365768161712994,1.0,0,0,1,0,0,1,1.324730741640591,0.360736503901998,4508.1318
5820,1.3828221833322063,-1.0422351889554364,-1.4172480242970042,0.4968357435431599,1.0,0,1,0,1,0,0,-1.0706472034673504,0.35121307584322026,1090.5804
48,0.7081533389721663,1.1553330513557112,-1.2796949710743943,-0.10122677401991632,2.0,1,0,0,1,0,0,-0.43564274084668864,0.64643934566533,2576.646
4583,-0.061205869508581305,1.6489554960416728,1.7093903974058804,-1.5365768161712994,2.0,0,0,0,0,0,0,0.2311119449050061,-2.620096478495438,743.0328
3791,1.927291777026274,-0.3301863216413553,0.8633789077975363,0.7360607505683904,2.0,0,1,0,1,0,0,1.2224244671072615,0.28454907943177593,968.739
3635,-0.061205869508581305,0.9824150204728204,1.8267146836508894,-1.5365768161712994,2.0,0,0,0,0,0,0,-1.7762077174903081,-2.620096478495438,759.012
321,-0.7488946389352186,1.296004585016572,1.3356706533355291,0.13799823300531416,1.0,1,0,0,1,0,0,-0.43564274084668864,0.3893067880783313,4950.8888
4724,-0.17956882465946555,-1.3425266333251322,0.5887788408048911,0.7360607505683904,2.0,0,1,0,1,0,0,1.324730741640591,0.28454907943177593,3044.7034
1819,1.6550569801792405,-0.4046594007522866,-0.22630018656949613,-0.10122677401991632,2.0,0,0,0,1,0,0,1.324730741640591,0.64643934566533,1012.016
6306,1.737911048784859,-0.11546202088549173,-0.18200892334384022,-1.2973518091460687,0.0,1,0,1,1,0,0,1.324730741640591,0.2369319391378871,1017.3424
2306,-1.7514288690632083,-0.6779910339559692,0.7509004297281308,1.0948982611062361,1.0,1,1,0,1,0,0,-0.3827257022949668,0.3702599319607758,3169.208
2355,-0.842401373504417,-0.6559710954720053,0.20174193190033113,0.7360607505683904,2.0,1,1,0,1,0,0,-1.0388969803363173,0.28454907943177593,4653.942
4630,-0.9359081080736159,1.6087584952606135,-1.285046818702572,1.3341232681314665,1.0,0,0,1,0,1,0,0.2311119449050061,0.3702599319607758,1151.1682
1946,-0.2860954842952612,-0.1345502281243326,0.5285985793246633,0.13799823300531416,1.0,1,0,0,1,0,0,-0.43564274084668864,0.3893067880783313,3448.844
7712,-0.842401373504417,-0.6547736364575534,0.2577906054449821,0.13799823300531416,1.0,1,0,0,1,0,0,-1.0388969803363173,0.3893067880783313,1241.0512
5377,-1.0885963202182565,-0.6735899048819651,-0.2475826686097366,1.3341232681314665,1.0,1,0,1,0,1,0,-1.0706472034673504,0.3702599319607758,985.384
2455,1.3828221833322063,-0.3960540220344201,0.21033819703140788,-0.10122677401991632,2.0,0,0,0,1,0,0,-0.7425615644466753,0.64643934566533,3506.7686
6888,0.7673348165476088,1.951031115324343,-1.7115291826571852,1.3341232681314665,1.0,1,0,1,0,1,0,0.2311119449050061,0.3702599319607758,203.7348
7579,-0.2979317798103498,-0.5695551955373482,-0.6746543443319046,0.13799823300531416,1.0,0,0,0,1,0,0,-0.7425615644466753,0.3893067880783313,1388.8588
6224,0.06899338115739152,-0.9162401368404546,-0.899611300470716,0.4968357435431599,1.0,0,1,0,1,0,0,-1.5433727478627322,0.35121307584322026,761.0094
4430,-1.9656658178863087,-0.6369649504218412,-0.4464529706901946,-0.10122677401991632,2.0,1,0,0,1,0,0,0.2311119449050061,0.64643934566533,2684.5056
8256,-0.40445843944614546,0.4293593436788755,0.481146170911089,1.3341232681314665,1.0,1,0,1,0,1,0,1.2224244671072615,0.3702599319607758,1358.232
8086,-0.061205869508581305,-1.0518641887430227,0.0818041760774684,-1.5365768161712994,1.0,0,0,1,0,0,1,0.31577920658776115,0.360736503901998,3825.6868
5357,1.5958755026037985,0.5990622042955928,1.829369789386233,1.3341232681314665,1.0,0,0,1,0,1,0,0.31577920658776115,0.3702599319607758,5327.0658
840,-1.6744929482151334,-1.3425266333251322,-0.854307958339911,0.7360607505683904,2.0,1,1,0,1,0,0,1.324730741640591,0.28454907943177593,1406.1696
8078,-0.6530206452630025,-0.23988522065224624,1.3191507071559114,0.4968357435431599,1.0,1,1,0,1,0,0,1.324730741640591,0.35121307584322026,5145.3024
6528,-0.061205869508581305,-0.7722893603336725,-0.9348002591127207,-1.5365768161712994,2.0,0,0,0,0,0,0,-0.43564274084668864,-2.620096478495438,412.796
6475,-1.2164283117812114,1.1631988435713232,-0.30089296410406313,1.3341232681314665,1.0,0,0,1,0,1,0,1.324730741640591,0.3702599319607758,2277.036
3013,-1.2531208278779855,-0.22062923361323264,-1.3314038758960165,0.7360607505683904,2.0,0,1,0,1,0,0,-0.7425615644466753,0.28454907943177593,735.709
667,-1.9112188585169019,0.5574019254384621,-0.3270628904773969,-1.2973518091460687,0.0,0,0,1,1,0,0,-1.5433727478627322,0.2369319391378871,1325.6078
6193,-0.32160437084052657,-0.48012153870482366,0.8687307554257143,0.7360607505683904,2.0,1,1,0,1,0,0,0.2311119449050061,0.28454907943177593,3475.476
1380,-0.013860687448227358,-0.5336926226318892,1.3500831693898676,0.018385729492698916,1.0,1,0,1,0,0,0,-1.0388969803363173,-2.6105730504366607,1575.2828
4677,0.7673348165476088,-1.0627575335682138,-0.49921559057445625,0.4968357435431599,1.0,1,1,0,1,0,0,1.324730741640591,0.35121307584322026,1186.4556
4993,-1.6283313957062884,0.21155046161024066,-1.3959655422567636,0.13799823300531416,1.0,0,0,0,1,0,0,-1.6492068249661755,0.3893067880783313,331.5684
7957,1.418331069877472,0.5273161732880068,-0.20978024038987847,0.4968357435431599,1.0,0,1,0,1,0,0,-1.6492068249661755,0.35121307584322026,894.8352
