Item_MRP,Item_Outlet_Sales,Item_Visibility,Item_Weight,Outlet_age,Item_Visibility_Mean,Item_ID,Item_Fat_Content_0,Item_Fat_Content_1,Outlet_Location_Type_0,Outlet_Location_Type_1,Outlet_Location_Type_2,Outlet_Size_0,Outlet_Size_1,Outlet_Size_2,Outlet_Type_0,Outlet_Type_1,Outlet_Type_2,Outlet_Type_3,Item_Type_Combined_Drinks,Item_Type_Combined_Food,Item_Type_Combined_Non-Consumable,Outlet_0,Outlet_1,Outlet_2,Outlet_3,Outlet_4,Outlet_5,Outlet_6,Outlet_7,Outlet_8,Outlet_9
249.8092,3735.138,0.016047301,9.3,23,0.24331500479579987,156,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
48.2692,443.4228,0.019278216,5.92,13,0.29230331122314374,8,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
141.618,2097.27,0.016760075,17.5,23,0.2541223430035347,662,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
182.095,732.38,0.0,19.2,24,0.0,1121,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
53.8614,994.7052,0.0,8.93,35,0.0,1297,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
51.4008,556.6088,0.0,10.395,13,0.0,758,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
57.6588,343.5528,0.012741089,13.65,35,0.19318501791290094,696,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
107.7622,4022.7636,0.127469857,12.792854228644284,37,1.9327442581948777,738,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
96.9726,1076.5986,0.016687114,16.2,20,0.2530160818282189,440,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
187.8214,4710.535,0.09444959,19.2,15,1.4320789797493878,990,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
45.5402,1516.0266,0.0,11.8,23,0.0,1171,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
144.1102,2187.153,0.045463773,18.5,25,0.6893382348552044,147,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
145.4786,1589.2646,0.1000135,15.1,23,1.5164410035148421,1142,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
119.6782,2145.2076,0.047257328,17.6,25,0.7165327670339509,904,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
196.4426,1977.426,0.0680243,16.35,35,1.0314091373204084,375,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
56.3614,1547.3192,0.069088961,9.0,25,1.0475519139979883,767,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
115.3492,1621.8888,0.008596051,11.8,13,0.130336446626753,1280,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
54.3614,718.3982,0.069196376,9.0,23,1.0491805792321072,767,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
113.2834,2303.668,0.034237682,12.792854228644284,37,0.5191241667385107,79,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
230.5352,2748.4224,0.10249212,13.35,18,1.5540227399817388,968,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
250.8724,3775.086,0.138190277,18.85,35,2.0952911589922762,666,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
144.5444,4064.0432,0.035399923,12.792854228644284,37,0.5367464868089622,1076,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
196.5084,1587.2672,0.025698134,14.6,18,0.38964443911490837,1278,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
107.6938,214.3876,0.057556998,12.792854228644284,37,0.8727001035502383,259,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
165.021,4078.025,0.025896485,13.85,25,0.3926519090013554,843,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
